,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
10,159803.SZ,浙江ETF,易方达基金,中国工商银行,股票型,20200427,,20200526,20200122,,2.6685,0.5,0.15,,1.0,0.1,,中证浙江新动能指数收益率,L,被动指数型,契约型开放式,,20200526,20200526,E
11,518660.SH,黄金ETF基金,工银瑞信基金,中国农业银行,商品型,20200424,,20200529,20200323,,5.6667,0.5,0.1,,1.0,0.1,,上海黄金交易所Au99.99现货实盘合约收盘价收益率,L,黄金现货合约,契约型开放式,,20200529,20200529,E
12,515960.SH,医药健康ETF,嘉实基金,中国银行,股票型,20200424,,20200610,20200325,,3.4399,0.5,0.1,,1.0,0.1,,中证医药健康100策略指数收益率,L,被动指数型,契约型开放式,,20200610,20200610,E
13,515620.SH,中证800ETF基金,建信基金,中金公司,股票型,20200417,,20200525,20200316,,3.2116,0.15,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20200525,20200525,E
14,159813.SZ,芯片,鹏华基金,申万宏源证券,股票型,20200417,,20200525,20200325,,5.5974,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200525,20200525,E
15,515670.SH,中银中证100ETF,中银基金,中信证券,股票型,20200417,,20200520,20200320,,3.1982,0.45,0.09,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,20200520,20200520,E
16,159802.SZ,800ETF,广发基金,中国工商银行,股票型,20200413,,20200515,20200323,,2.2252,0.15,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20200515,20200515,E
17,515930.SH,永赢沪深300ETF,永赢基金,中国工商银行,股票型,20200413,,20200508,20200323,,2.8191,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200508,20200508,E
18,518850.SH,黄金ETF9999,华夏基金,中国建设银行,商品型,20200413,,20200605,20200327,,3.3362,0.5,0.1,,1.0,0.1,,上海黄金交易所黄金现货实盘合约Au99.99价格收益率,L,黄金现货合约,契约型开放式,,20200605,20200605,E
19,510200.SH,上证券商ETF,汇安基金,兴业证券,股票型,20200409,,20200508,20200316,,2.0389,0.5,0.1,,1.0,0.1,,上证证券行业指数,L,被动指数型,契约型开放式,,20200508,20200508,E
20,168701.SZ,金融科技,合煦智远基金,申万宏源证券,股票型,20200403,,20200506,20200302,,5.2143,0.5,0.1,,1.0,0.001,,国证香蜜湖金融科技指数,L,被动指数型,契约型开放式,,20200506,20200506,E
21,515130.SH,沪深300ETF博时,博时基金,中国建设银行,股票型,20200403,,20200511,20200309,,2.6546,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200511,20200511,E
22,515280.SH,富国银行ETF,富国基金,中信证券,股票型,20200401,,20200417,20200311,,3.1262,0.5,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20200417,20200417,E
23,159811.SZ,5G50ETF,博时基金,中信建投,股票型,20200327,,20200422,20200316,,13.4434,0.45,0.1,,1.0,0.1,,中证5G产业50指数收益率,L,被动指数型,契约型开放式,,20200422,20200422,E
24,164508.SZ,国富100,国海富兰克林基金,中国银行,股票型,20200327,,20200422,20200327,,1.3414,0.85,0.15,,1.0,,,中证100指数收益率*95%+银行同业存款利率*5%,L,增强指数型,契约型开放式,,20200330,20200330,E
25,501098.SH,科创建信,建信基金,中国农业银行,混合型,20200326,,20200427,20200305,,3.0917,1.2,0.2,,1.0,0.001,,中国战略新兴产业成份指数收益率*50%+中证综合债指数收益率*45%+恒生指数收益率(使用估值汇率折算)*5%,L,灵活配置型,契约型开放式,,,,E
26,159991.SZ,创大盘,招商基金,中信建投,股票型,20200320,,20200424,20200302,,3.3973,0.2,0.1,,1.0,0.1,,创业板大盘指数收益率,L,被动指数型,契约型开放式,,20200424,20200424,E
27,159992.SZ,创新药,银华基金,上海银行,股票型,20200320,,20200410,20200302,,49.1638,0.5,0.05,,1.0,0.1,,中证创新药产业指数,L,被动指数型,契约型开放式,,20200410,20200410,E
28,515690.SH,股息龙头ETF,鹏华基金,中信证券,股票型,20200320,,20200513,20200224,,2.2309,0.2,0.1,,1.0,0.1,,中证高股息龙头指数收益率,L,被动指数型,契约型开放式,,20200513,20200513,E
29,159998.SZ,计算机,天弘基金,中信证券,股票型,20200320,,20200413,20200302,,2.8786,0.5,0.1,,1.0,0.1,,中证计算机主题指数收益率,L,被动指数型,契约型开放式,,20200413,20200413,E
30,160527.SZ,研究优选,博时基金,中国银行,混合型,20200320,,20200619,20200309,,20.5379,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,L,灵活配置型,契约型开放式,,,,E
31,515890.SH,中证红利指数ETF,博时基金,招商银行,股票型,20200320,,20200420,20200224,,3.1244,0.15,0.05,,1.0,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,,20200420,20200420,E
32,515510.SH,成长估值ETF,嘉实基金,中国银行,股票型,20200316,,20200506,20200203,,2.3553,0.5,0.1,,1.0,0.1,,中证500成长估值指数收益率,L,被动指数型,契约型开放式,,20200506,20200506,E
33,515950.SH,医药50ETF基金,富国基金,招商银行,股票型,20200316,,20200401,20200121,,2.772,0.5,0.1,,1.0,0.1,,中证医药50指数收益率,L,被动指数型,契约型开放式,,20200401,20200401,E
34,159807.SZ,科技ETF,易方达基金,中国银行,股票型,20200316,,20200330,20200309,,15.0003,0.15,0.05,,1.0,0.1,,中证科技50指数收益率,L,被动指数型,契约型开放式,,20200330,20200330,E
35,513090.SH,香港证券ETF,易方达基金,招商银行,股票型,20200313,,20200326,20200224,,10.1999,0.15,0.05,,1.0,0.1,,中证香港证券投资主题指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,20200326,20200326,E
36,159806.SZ,新能车,国泰基金,浦发银行,股票型,20200310,,20200320,20200302,,23.607,0.5,0.1,,1.0,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,,20200320,20200320,E
37,511380.SH,可转债ETF,博时基金,招商银行,债券型,20200306,,20200407,20200210,,6.0187,0.15,0.05,,1.0,0.1,,中证可转债及可交换债券指数收益率,L,被动指数型,契约型开放式,,20200407,20200407,E
38,159805.SZ,传媒ETF,鹏华基金,中国建设银行,股票型,20200306,,20200417,20200217,,24.6245,0.5,0.1,,1.0,0.1,,中证传媒指数收益率,L,被动指数型,契约型开放式,,20200417,20200417,E
39,159978.SZ,湾区ETF,建信基金,招商银行,股票型,20200306,,20200414,20200120,,8.6692,0.3,0.1,,1.0,0.1,,中证沪港深粤港澳大湾区发展主题指数,L,被动指数型,契约型开放式,,20200414,20200414,E
40,159804.SZ,创精选88,国寿安保基金,中信证券,股票型,20200304,,20200331,20200219,,3.499,0.3,0.1,,1.0,0.1,,国证创业板中盘精选88指数,L,被动指数型,契约型开放式,,20200331,20200331,E
41,515630.SH,证保ETF,鹏华基金,中国建设银行,股票型,20200228,,20200403,20200113,,6.8572,0.5,0.1,,1.0,0.1,,中证800证券保险指数收益率,L,被动指数型,契约型开放式,,20200403,20200403,E
42,159996.SZ,家电ETF,国泰基金,浦发银行,股票型,20200227,,20200316,20200210,,9.3255,0.5,0.1,,1.0,0.1,,中证全指家用电器指数收益率,L,被动指数型,契约型开放式,,20200316,20200316,E
43,159997.SZ,电子ETF,天弘基金,海通证券,股票型,20200227,,20200320,20200210,,11.5431,0.5,0.1,,1.0,0.1,,中证电子指数收益率,L,被动指数型,契约型开放式,,20200320,20200320,E
44,159983.SZ,大湾区,华夏基金,招商银行,股票型,20200225,,20200423,20200204,,4.3675,0.3,0.1,,1.0,0.1,,粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,,20200423,20200423,E
45,515030.SH,新能源车ETF,华夏基金,中国银行,股票型,20200220,,20200304,20200203,,107.6288,0.5,0.1,,1.0,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,,20200304,20200304,E
46,502000.SH,500增强LOF,西部利得基金,兴业银行,股票型,20200219,,20200224,20200219,,3.5764,1.0,0.2,,1.0,,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20200224,20200224,E
47,515160.SH,MSCI中国招商ETF,招商基金,中国银行,股票型,20200203,,20200302,20191209,,5.0796,0.5,0.1,,1.0,0.1,,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
48,159994.SZ,5GETF,银华基金,中国农业银行,股票型,20200122,,20200228,20191227,,10.97,0.5,0.1,,1.0,0.1,,中证5G通信主题指数,L,被动指数型,契约型开放式,,20200228,20200228,E
49,515210.SH,钢铁ETF,国泰基金,招商银行,股票型,20200122,,20200302,20200102,,4.3523,0.5,0.1,,1.0,0.1,,中证钢铁指数收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
50,515850.SH,证券ETF富国,富国基金,中国建设银行,股票型,20200121,,20200221,20191016,,5.0829,0.5,0.1,,1.0,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,,20200221,20200221,E
51,159995.SZ,芯片ETF,华夏基金,中国建设银行,股票型,20200120,,20200210,20191224,,53.8846,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
52,515220.SH,煤炭ETF,国泰基金,中国工商银行,股票型,20200120,,20200302,20200102,,3.9259,0.5,0.1,,1.0,0.1,,中证煤炭指数收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
53,159801.SZ,芯片基金,广发基金,中国工商银行,股票型,20200120,,20200218,20200106,,25.2406,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200218,20200218,E
54,515090.SH,可持续发展ETF,博时基金,招商银行,股票型,20200119,,20200220,20191216,,14.708,0.5,0.1,,1.0,0.1,,中证可持续发展100指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200220,20200220,E
55,515570.SH,山证红利ETF,山西证券,中国银行,股票型,20200117,,20200409,20191223,,2.6444,0.5,0.1,,1.0,0.1,,中证红利潜力指数收益率,L,被动指数型,契约型开放式,,20200409,20200409,E
56,515450.SH,红利低波50ETF,南方基金,中国农业银行,股票型,20200117,,20200226,20191223,,4.7346,0.5,0.1,,1.0,0.1,,标普中国A股大盘红利低波50指数收益率,L,被动指数型,契约型开放式,,20200226,20200226,E
57,515700.SH,新能车ETF,平安基金,招商证券,股票型,20191231,,20200210,20191209,,2.8851,0.15,0.05,,1.0,0.1,,中证新能源汽车产业指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
58,515380.SH,泰康沪深300ETF,泰康资产,招商银行,股票型,20191227,,20200323,20191115,,71.606,0.4,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200323,20200323,E
59,159993.SZ,龙头券商,鹏华基金,中信证券,股票型,20191226,,20200207,20191209,,9.747,0.5,0.1,,1.0,0.1,,国证证券龙头指数收益率,L,被动指数型,契约型开放式,,20200207,20200207,E
60,515350.SH,民生加银300ETF,民生加银基金,中国农业银行,股票型,20191224,,20200207,20191021,,3.6206,0.15,0.05,,1.0,0.1,,沪深300指数,L,被动指数型,契约型开放式,,20200207,20200207,E
61,515980.SH,人工智能ETF,华富基金,招商银行,股票型,20191224,,20200210,20191209,,2.9506,0.5,0.1,,1.0,0.1,,中证人工智能产业指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
62,159986.SZ,消费100,弘毅远方基金,广发证券,股票型,20191219,,20200120,20190923,,2.1115,0.3,0.1,,1.0,0.1,,国证消费100指数收益率,L,被动指数型,契约型开放式,,20200120,20200120,E
63,501090.SH,消费龙头LOF,华宝基金,中国民生银行,股票型,20191219,,20200106,20191008,,2.8858,0.75,0.1,,1.0,0.0001,,中证消费龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200106,20200106,E
64,512730.SH,银行行业ETF,鹏华基金,中国建设银行,股票型,20191219,,20200207,20191008,,3.2558,0.3,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20200207,20200207,E
65,159970.SZ,深100ET,工银瑞信基金,浦发银行,股票型,20191219,,20200110,20191014,,5.0826,0.45,0.1,,1.0,0.1,,深证100指数收益率,L,被动指数型,契约型开放式,,20200110,20200110,E
66,159979.SZ,湾创100,广发基金,招商银行,股票型,20191216,,20200214,20190909,,2.4493,0.3,0.1,,1.0,0.1,,同期粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,,20200214,20200214,E
67,161837.SZ,银华大盘,银华基金,中国工商银行,混合型,20191216,,20200521,20191204,,18.4602,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中证综合债指数收益率*20%,L,混合型,契约型开放式,,,,E
68,159981.SZ,能源化工,建信基金,中国农业银行,商品型,20191213,,20200117,20191111,,4.8454,0.5,0.1,,1.0,0.1,,易盛郑商所能源化工指数A收益率,L,能源化工期货型,契约型开放式,,20200117,20200117,E
69,515390.SH,华安沪深300ETF,华安基金,招商银行,股票型,20191213,,20200110,20191028,,4.4268,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200110,20200110,E
70,515070.SH,人工智能AIETF,华夏基金,中国银行,股票型,20191209,,20191224,20191121,,9.9047,0.5,0.1,,1.0,0.1,,中证人工智能主题指数收益率,L,被动指数型,契约型开放式,,20191224,20191224,E
71,159990.SZ,小盘价值,银华基金,华泰证券,股票型,20191206,,20200120,20191118,,5.0842,0.5,0.1,,1.0,0.1,,巨潮小盘价值指数,L,被动指数型,契约型开放式,,20200120,20200120,E
72,167506.SZ,深圳科技,安信基金,中国农业银行,股票型,20191206,,20200106,20191111,,6.5629,0.5,0.1,,1.0,0.001,,中证深圳科技创新主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200106,20200106,E
73,515870.SH,先进制造ETF,嘉实基金,中国银行,股票型,20191205,,20200117,20191104,,2.715,0.5,0.1,,1.0,0.1,,中证先进制造100策略指数收益率,L,被动指数型,契约型开放式,,20200117,20200117,E
74,515330.SH,300ETF天弘,天弘基金,招商证券,股票型,20191205,,20191226,20191104,,2.3671,0.5,0.1,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20191226,20191226,E
75,515310.SH,沪深300添富ETF,汇添富基金,招商银行,股票型,20191204,,20191225,20190927,,2.7611,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20191225,20191225,E
76,159984.SZ,湾区基金,南方基金,招商银行,股票型,20191129,,20200117,20190909,,6.5359,0.3,0.1,,1.0,0.1,,粤港澳大湾区创新100指数,L,被动指数型,契约型开放式,,20200117,20200117,E
77,501089.SH,消费红利增强LOF,方正富邦基金,中国民生银行,股票型,20191129,,20191231,20191008,,2.0577,1.2,0.2,,1.0,0.0001,,中证主要消费红利指数收益率*95%+人民币银行活期存款收益率(税后)*5%,L,增强指数型,契约型开放式,,20191231,20191231,E
78,515060.SH,房地产ETF基金,华夏基金,中国银行,股票型,20191128,,20200103,20191101,,2.3348,0.5,0.1,,1.0,0.1,,中证全指房地产指数收益率,L,被动指数型,契约型开放式,,20200103,20200103,E
79,515080.SH,中证红利ETF,招商基金,浦发银行,股票型,20191128,,20191227,20191021,,3.4015,0.2,0.1,,1.0,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,,20191227,20191227,E
80,515180.SH,红利ETF易方达,易方达基金,中国银行,股票型,20191126,,20191220,20191030,,9.9264,0.15,0.05,,1.0,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,,20191220,20191220,E
81,515660.SH,国联安沪深300ETF,国联安基金,中国工商银行,股票型,20191125,,20191224,20190828,,5.0099,0.3,0.05,,1.0,0.1,,沪深300指数,L,被动指数型,契约型开放式,,20191224,20191224,E
82,159982.SZ,中证500,鹏华基金,中国工商银行,股票型,20191121,,20200220,20190909,,4.9021,0.15,0.05,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200220,20200220,E
83,515750.SH,科技50ETF,富国基金,中信建投,股票型,20191115,,20191206,20191015,,21.4014,0.5,0.1,,1.0,0.1,,中证科技50策略指数收益率,L,被动指数型,契约型开放式,,20191206,20191206,E
84,515550.SH,中融中证500ETF,中融基金,中国光大银行,股票型,20191115,,20191225,20190903,,2.3535,0.3,0.1,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20191225,20191225,E
85,515590.SH,500等权ETF,前海开源基金,中国银河,股票型,20191114,,20200120,20191028,,7.6011,0.15,0.05,,1.0,0.1,,中证500等权重指数,L,被动指数型,契约型开放式,,20200120,20200120,E
86,511060.SH,5年地方债ETF,海富通基金,招商银行,债券型,20191107,,20191212,20190801,,109.7863,0.15,0.05,,1.0,0.1,,上证5年期地方政府债指数收益率,L,被动指数型,契约型开放式,,20191212,20191212,E
87,159975.SZ,深100SZ,招商基金,交通银行,股票型,20191107,,20200102,20190826,,9.8117,0.2,0.1,,1.0,0.1,,深证100指数(价格)收益率,L,被动指数型,契约型开放式,,20200102,20200102,E
88,515990.SH,国企一带一路ETF,汇添富基金,中国农业银行,股票型,20191106,,20200115,20190911,,36.2435,0.15,0.05,,1.0,0.1,,中证国企一带一路指数收益率,L,被动指数型,契约型开放式,,20200115,20200115,E
89,515110.SH,一带一路国企ETF,易方达基金,中国建设银行,股票型,20191106,,20200115,20190911,,83.5829,0.15,0.05,,1.0,0.1,,中证国企一带一路指数收益率,L,被动指数型,契约型开放式,,20200115,20200115,E
90,166107.SZ,多因子A,信达澳银基金,中国银行,混合型,20191106,,20191128,20190923,,2.2584,1.5,0.25,,1.0,0.001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,偏股混合型,契约型开放式,,20191125,20191125,E
91,515150.SH,一带一路ETF,富国基金,中国银行,股票型,20191106,,20200115,20190911,,82.667,0.15,0.05,,1.0,0.1,,中证国企一带一路指数收益率,L,被动指数型,契约型开放式,,20200115,20200115,E
92,162216.SZ,泰达500,泰达宏利基金,中国银行,股票型,20191106,,20191205,20191106,,0.0279,1.0,0.2,,1.0,,,中证500指数收益率*95%+1年期定期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20191106,20191106,E
93,159987.SZ,创新ETF,银华基金,招商证券,股票型,20191101,,20191118,20191021,,4.4346,0.3,0.08,,1.0,0.1,,中证研发创新100指数,L,被动指数型,契约型开放式,,20191118,20191118,E
94,159976.SZ,湾创ETF,工银瑞信基金,招商银行,股票型,20191101,,20200117,20190819,,11.9089,0.25,0.05,,1.0,0.1,,粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,,20200117,20200117,E
95,515200.SH,创新100ETF,申万菱信基金,中国农业银行,股票型,20191025,,20191115,20190902,,8.9694,0.5,0.1,,1.0,0.1,,中证研发创新100指数,L,被动指数型,契约型开放式,,20191115,20191115,E
96,515020.SH,华夏银行ETF,华夏基金,中国银行,股票型,20191024,,20191203,20190909,,3.4785,0.5,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20191203,20191203,E
97,159980.SZ,有色期货,大成基金,中国农业银行,商品型,20191024,,20191224,20190903,,3.1082,0.6,0.1,,1.0,0.1,,上海期货交易所有色金属期货价格指数收益率,L,有色金属期货型,契约型开放式,,20191224,20191224,E
98,510530.SH,工银中证500ETF,工银瑞信基金,中国银行,股票型,20191017,,20200103,20190718,,10.8097,0.45,0.07,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200103,20200103,E
99,515650.SH,消费50ETF,富国基金,中信证券,股票型,20191014,,20191111,20190812,,8.6718,0.5,0.1,,1.0,0.1,,中证消费50指数收益率,L,被动指数型,契约型开放式,,20191111,20191111,E
100,502020.SH,上证50增强LOF,国金基金,中国民生银行,股票型,20191014,,20191028,20191014,,,1.0,0.1,,1.0,,,上证50指数收益率*95%+同期银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20191015,20191015,E
101,515810.SH,中证800ETF,易方达基金,中国建设银行,股票型,20191008,,20191025,20190916,,8.8791,0.15,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20191025,20191025,E
102,515800.SH,800ETF,汇添富基金,平安银行,股票型,20191008,,20191216,20190715,,66.0144,0.15,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20191216,20191216,E
103,515580.SH,科技100ETF,华泰柏瑞基金,中信证券,股票型,20190927,,20191028,20190909,,21.2002,0.5,0.1,,1.0,0.1,,中证科技100指数收益率,L,被动指数型,契约型开放式,,20191028,20191028,E
104,515860.SH,科技ETF基金,嘉实基金,中国银行,股票型,20190926,,20191022,20190902,,12.6088,0.5,0.1,,1.0,0.1,,中证新兴科技100策略指数收益率,L,被动指数型,契约型开放式,,20191022,20191022,E
105,515520.SH,MSCI价值100ETF,大成基金,中国农业银行,股票型,20190926,,20191118,20190819,,7.8187,0.5,0.1,,1.0,0.1,,MSCI中国A股质优价值100指数,L,被动指数型,契约型开放式,,20191118,20191118,E
106,167302.SZ,湾区LOF,方正富邦基金,中国建设银行,股票型,20190926,,20200106,20190826,,3.0374,0.75,0.15,,1.0,0.0001,,恒生沪深港通大湾区综合指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20191105,20191105,E
107,159985.SZ,豆粕ETF,华夏基金,中国建设银行,商品型,20190924,,20191205,20190906,,2.6592,0.5,0.1,,1.0,0.1,,大连商品交易所豆粕期货价格指数收益率,L,豆粕期货型,契约型开放式,,20191205,20191205,E
108,515360.SH,方正沪深300ETF,方正富邦基金,中国建设银行,股票型,20190924,,20191101,20190801,,2.1587,0.5,0.1,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20191101,20191101,E
109,512970.SH,大湾区ETF,平安基金,中国工商银行,股票型,20190923,,20191111,20190617,,60.0999,0.15,0.05,,1.0,0.1,,中证粤港澳大湾区发展主题指数收益率,L,被动指数型,契约型开放式,,20191111,20191111,E
110,161118.SZ,易基中小,易方达基金,中国建设银行,股票型,20190920,,20191009,20190920,,6.1451,1.0,0.22,,1.0,,,中小板价格指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20190923,20190923,E
111,159974.SZ,央企创新,富国基金,中国建设银行,股票型,20190920,,20191218,20190812,,20.2643,0.15,0.05,,1.0,0.1,,中证央企创新驱动指数收益率,L,被动指数型,契约型开放式,,20191218,20191218,E
112,515600.SH,央企创新ETF,广发基金,中国工商银行,股票型,20190920,,20191218,20190812,,86.758,0.15,0.05,,1.0,0.1,,中证央企创新驱动指数收益率,L,被动指数型,契约型开放式,,20191218,20191218,E
113,515680.SH,嘉实央企创新ETF,嘉实基金,中国银行,股票型,20190920,,20191218,20190812,,132.5026,0.15,0.05,,1.0,0.1,,中证央企创新驱动指数收益率,L,被动指数型,契约型开放式,,20191218,20191218,E
114,515900.SH,央创ETF,博时基金,招商银行,股票型,20190920,,20191218,20190812,,167.3465,0.15,0.05,,1.0,0.1,,中证央企创新驱动指数收益率,L,被动指数型,契约型开放式,,20191218,20191218,E
115,515050.SH,5GETF,华夏基金,中国银行,股票型,20190917,,20191016,20190830,,41.5257,0.5,0.1,,1.0,0.1,,中证5G通信主题指数收益率,L,被动指数型,契约型开放式,,20191016,20191016,E
116,515010.SH,华夏证券ETF,华夏基金,中国银行,股票型,20190917,,20191107,20190819,,6.2477,0.5,0.1,,1.0,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,,20191107,20191107,E
117,159977.SZ,创业板TH,天弘基金,国泰君安,股票型,20190912,,20190927,20190826,,6.4086,0.5,0.1,,1.0,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,,20190927,20190927,E
118,510100.SH,上证50ETF易方达,易方达基金,招商银行,股票型,20190906,,20191009,20190610,,7.0423,0.15,0.05,,1.0,0.1,,上证50指数收益率,L,被动指数型,契约型开放式,,20191009,20191009,E
119,501088.SH,嘉实瑞虹,嘉实基金,中国银行,混合型,20190904,,20200309,20190805,,24.6132,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合财富指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,E
120,501087.SH,交银瑞丰,交银施罗德基金,招商银行,混合型,20190904,,20200309,20190826,,29.6486,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,L,偏股混合型,契约型开放式,,,,E
121,512530.SH,沪深300红利ETF,建信基金,中信证券,股票型,20190823,,20190923,20190729,,12.635,0.5,0.1,,1.0,0.1,,沪深300红利指数,L,被动指数型,契约型开放式,,20190923,20190923,E
122,159972.SZ,5年地债,鹏华基金,招商银行,债券型,20190823,,20191108,20190708,,44.7159,0.15,0.05,,1.0,0.1,,中证5年期地方政府债指数收益率,L,被动指数型,契约型开放式,,20191108,20191108,E
